Timestamp [us],RTC Count,Notes,State To Process,Next State
1678399294396822,-1,,DEPLOY,DEPLOY
1678399295396890,-1,,DEPLOY,DEPLOY
1678399296396969,-1,,DEPLOY,DEPLOY
1678399297397048,-1,,DEPLOY,DEPLOY
1678399298397120,-1,,DEPLOY,DEPLOY
1678399299397196,-1,,DEPLOY,DEPLOY
1678399300397293,-1,,DEPLOY,DEPLOY
1678399301397360,-1,,DEPLOY,DEPLOY
1678399302397428,-1,,DEPLOY,DEPLOY
1678399303397496,-1,,DEPLOY,DEPLOY
1678399304397576,-1,,DEPLOY,DEPLOY
1678399305397639,-1,,DEPLOY,DEPLOY
1678399306397705,-1,,DEPLOY,DEPLOY
1678399307397771,-1,,DEPLOY,DEPLOY
1678399308397825,-1,,DEPLOY,DEPLOY
1678399309397890,-1,,DEPLOY,DEPLOY
1678399310397956,-1,,DEPLOY,DEPLOY
1678399311398026,-1,,DEPLOY,DEPLOY
1678399312398143,-1,,DEPLOY,DEPLOY
1678399313398210,-1,,DEPLOY,DEPLOY
1678399314398283,-1,,DEPLOY,DEPLOY
1678399315398367,-1,,DEPLOY,DEPLOY
1678399316398483,-1,,DEPLOY,DEPLOY
1678399317398585,-1,,DEPLOY,DEPLOY
1678399318398664,-1,,DEPLOY,DEPLOY
1678399319398735,-1,,DEPLOY,DEPLOY
1678399320399051,-1,,DEPLOY,DEPLOY
1678399321399157,-1,,DEPLOY,DEPLOY
1678399322399237,-1,,DEPLOY,DEPLOY
1678399323399305,-1,,DEPLOY,DEPLOY
1678399852587250,-1,Restarted! | ,CONFIG,START
1678399853587375,-1,,START,DEPLOY
1678399854587476,-1,,DEPLOY,DEPLOY
1678399855587562,-1,,DEPLOY,DEPLOY
1678399856587643,-1,,DEPLOY,DEPLOY
1678399857587735,-1,,DEPLOY,DEPLOY
1678399858587836,-1,,DEPLOY,DEPLOY
1678399859587908,-1,,DEPLOY,DEPLOY
1678399860587979,-1,,DEPLOY,DEPLOY
1678399861588046,-1,,DEPLOY,DEPLOY
1678399862588118,-1,,DEPLOY,DEPLOY
